State,District,Change,Candidate,Party
Texas,TX-27,Added,Eustaquio Castro-Mendoza (D),D
Texas,TX-27,Added,Michael Cloud (R),R
Texas,TX-27,Added,Tanya Lloyd (D),D
Texas,TX-27,Added,Wayne Raasch (D),D
Texas,TX-28,Added,Adriel Ventura Lopez (I),I
Texas,TX-28,Added,Andrew Vantine (D),D
Texas,TX-28,Added,Eileen Day (R),R
Texas,TX-28,Added,Henry Cuellar (D),D
Texas,TX-28,Added,Marlon Duran (G),G
Texas,TX-28,Added,Ricardo Villarreal (D),D
Texas,TX-28,Added,Tano Tijerina (R),R
Texas,TX-29,Added,Jarvis Johnson (D),D
Texas,TX-29,Added,Martha Fierro (R),R
Texas,TX-29,Added,Robert Slater (D),D
Texas,TX-29,Added,Sylvia Garcia (D),D
Texas,TX-30,Added,Barbara Mallory Caraway (D),D
Texas,TX-30,Added,Everett Jackson (R),R
Texas,TX-30,Added,Frederick Haynes (D),D
Texas,TX-30,Added,Gregor Heise (R),R
Texas,TX-30,Added,Nils Walker (R),R
Texas,TX-30,Added,Oxford Nordberg (I),I
Texas,TX-30,Added,Rodney LaBruce (D),D
Texas,TX-30,Added,Sholdon Daniels (R),R
Texas,TX-31,Added,Abhiram Garapati (R),R
Texas,TX-31,Added,David Berry (R),R
Texas,TX-31,Added,Ed Ewald (R),R
Texas,TX-31,Added,Elvis Lossa (R),R
Texas,TX-31,Added,Greg Stoker (G),G
Texas,TX-31,Added,John Carter (R),R
Texas,TX-31,Added,Justin Early (D),D
Texas,TX-31,Added,Offer Shlomi (R),R
Texas,TX-31,Added,Raymond Hamden (R),R
Texas,TX-31,Added,Steven Dowell (R),R
Texas,TX-31,Added,Stuart Whitlow (D),D
Texas,TX-31,Added,Valentina Gomez Noriega (R),R
Texas,TX-31,Added,William Abel (R),R
Texas,TX-32,Added,Abteen Vaziri (R),R
Texas,TX-32,Added,Aimee Carrasco (R),R
Texas,TX-32,Added,Anthony Bridges (D),D
Texas,TX-32,Added,Charles Harper (I),I
Texas,TX-32,Added,Dan Barrios (D),D
Texas,TX-32,Added,Darrell Day (R),R
Texas,TX-32,Added,Gordon Heslop (R),R
Texas,TX-32,Added,Jace Yarbrough (R),R
Texas,TX-32,Added,James Ussery (R),R
Texas,TX-32,Added,Monty Montanez (R),R
Texas,TX-32,Added,Paul Bondar (R),R
Texas,TX-32,Added,Ryan Binkley (R),R
Texas,TX-33,Added,Carlos Quintanilla (D),D
Texas,TX-33,Added,Colin Allred (D),D
Texas,TX-33,Added,John Sims (R),R
Texas,TX-33,Added,Julie Johnson (D),D
Texas,TX-33,Added,Kurt L. Schwab (R),R
Texas,TX-33,Added,Monte Mitchell (R),R
Texas,TX-33,Added,Patrick Gillespie (R),R
Texas,TX-33,Added,Zeeshan Hafeez (D),D
Texas,TX-34,Added,Eddie Espinoza (G),G
Texas,TX-34,Added,Eric Flores (R),R
Texas,TX-34,Added,Etienne Rosas (D),D
Texas,TX-34,Added,Fred Hinojosa (R),R
Texas,TX-34,Added,Gregory Kunkle Jr. (R),R
Texas,TX-34,Added,Jay Nagy (R),R
Texas,TX-34,Added,Keith Allen (R),R
Texas,TX-34,Added,Luis Buentello (R),R
Texas,TX-34,Added,Mayra Flores (R),R
Texas,TX-34,Added,Vicente Gonzalez Jr. (D),D
Texas,TX-35,Added,Carlos De La Cruz (R),R
Texas,TX-35,Added,Jay Furman (R),R
Texas,TX-35,Added,John Lira (D),D
Texas,TX-35,Added,John Lujan (R),R
Texas,TX-35,Added,Johnny Garcia (D),D
Texas,TX-35,Added,Joshua Cortez (R),R
Texas,TX-35,Added,Larry La Rose (R),R
Texas,TX-35,Added,Mark Eberwine (R),R
Texas,TX-35,Added,Maureen Galindo (D),D
Texas,TX-35,Added,Randy Adams (R),R
Texas,TX-35,Added,Rod Lingsch (R),R
Texas,TX-35,Added,Ryan Krause (R),R
Texas,TX-35,Added,Steven Wright (R),R
Texas,TX-35,Added,Vanessa Hicks-Callaway (R),R
Texas,TX-35,Added,Whitney Masterson-Moyes (D),D
Texas,TX-36,Added,Brian Babin (R),R
Texas,TX-36,Added,Doug Rogers (D),D
Texas,TX-36,Added,Jonathan Mitchell (R),R
Texas,TX-36,Added,Rhonda Hart (D),D
Texas,TX-37,Added,Esther Fleharty (D),D
Texas,TX-37,Added,Ge'Nell Gary (R),R
Texas,TX-37,Added,Greg Casar (D),D
Texas,TX-37,Added,James Kinney (I),I
Texas,TX-37,Added,Janet Malzahn (R),R
Texas,TX-37,Added,Lauren Peña (R),R
Texas,TX-38,Added,Alex McMenemy (G),G
Texas,TX-38,Added,Avery Ayers (R),R
Texas,TX-38,Added,Barrett McNabb (R),R
Texas,TX-38,Added,Carmen Montiel (R),R
Texas,TX-38,Added,Craig Goralski (R),R
Texas,TX-38,Added,Jeff Yuna (R),R
Texas,TX-38,Added,Jennifer Sundt (R),R
Texas,TX-38,Added,Jon Bonck (R),R
Texas,TX-38,Added,Larry Rubin (R),R
Texas,TX-38,Added,Marvalette Hunter (D),D
Texas,TX-38,Added,Melissa McDonough (D),D
Texas,TX-38,Added,Michael Pratt (R),R
Texas,TX-38,Added,Shelly deZevallos (R),R
Texas,TX-38,Added,Theresa Courts (D),D
Texas,TX-38,Added,William Taggart (I),I
Utah,UT-01,Removed,Peter Crosby (D),D
Utah,UT-01,Added,Liban Mohamed (D),D
Utah,UT-02,Removed,Jonathan Larsen (D),D
Utah,UT-03,Added,Adonis Hooslyn (NP),P
Utah,UT-04,Added,Jonathan Larsen (D),D
Virginia,VA-05,Removed,Adele Stichel (D),D
Virginia,VA-05,Added,Melanie Lucero (R),R
Virginia,VA-11,Removed,Gerald Edward Connolly (D),D
Washington,WA-04,Removed,John Duresky (D),D
Wisconsin,WI-03,Removed,Laura Benjamin (D),D
Wyoming,WY-AL,Removed,Bo Biteman (R),R
Wyoming,WY-AL,Removed,Bryan Keller (R),R
Wyoming,WY-AL,Removed,Bryan Miller (R),R
Wyoming,WY-AL,Removed,Casey Hardison (I),I
Wyoming,WY-AL,Removed,Catharine O'Neill (R),R
Wyoming,WY-AL,Removed,Darin Smith (R),R
Wyoming,WY-AL,Removed,Harriet Hageman (R),R
Wyoming,WY-AL,Removed,Marissa Selvig (R),R
Wyoming,WY-AL,Added,Daniel Workman (I),I
Wyoming,WY-AL,Added,Reid Rasner (R),R
